NO,sample_id,station,date,time,longitude,latitude,depth,layer,watermass,Temperature,Salinity,Chla,Oxygen,pH,NOx,PO4,Si,MLD,BP,sBP,BA,HNA_LNA,richness,shannon,mpd,SESmpd
1,E609_1,E609,20220721,21:13:35,117.851,22.143,3,surface,Plume,29.706,32.469,0.322,6.367,9.039,0.565,0.138,1.008,5,0.682,1.093,624152,1.94,372,4.647,0.735,-0.716
2,E609_2,E609,20220721,21:13:35,117.851,22.143,40,middle,SCS,25.67,34.021,0.421,6.299,9.418,0.763,2.671,3.572,5,0.466,1.264,368782,1.809,552,5.199,0.701,-2.297
3,E609_3,E609,20220721,21:13:35,117.851,22.143,60,bottom,SCS,22.37,34.305,0.163,5.657,9.253,4.199,3.086,6.568,5,0.662,2.402,275627,2.1,620,5.273,0.68,-3.062
4,E607_1,E607,20220722,01:47:10,117.55,22.443,3,surface,Plume,30.468,31.264,0.63,5.391,8.903,0.02,0.425,0.096,5,1.483,3.14,472320,2.433,265,4.093,0.809,1.018
5,E607_2,E607,20220722,01:47:10,117.55,22.443,15,middle,Plume,29.857,31.875,0.593,6.913,8.946,0.02,1.584,1.13,5,3.335,6.856,486400,1.996,278,3.998,0.804,0.994
6,E607_3,E607,20220722,01:47:10,117.55,22.443,30,bottom,SCS,24.927,34.045,0.38,5.974,8.975,0.852,0.256,1.902,5,2.028,4.975,407619,1.306,397,4.936,0.692,-2.255
7,E605_1,E605,20220722,05:18:23,117.303,22.692,3,surface,Plume,31.116,30.352,0.809,6.778,9.252,1.176,0.705,0.89,3,4.102,2.373,1728305,1.536,280,3.921,0.796,0.986
8,E605_2,E605,20220722,05:18:23,117.303,22.692,15,middle,SCS,23.347,34.247,0.961,5.675,9.337,2.385,0.101,6.823,3,0.747,1.164,641829,1.243,559,5.275,0.793,0.589
9,E605_3,E605,20220722,05:18:23,117.303,22.692,35,bottom,SCS,23.251,34.23,0.285,5.743,9.04,2.773,0.364,6.639,3,0.721,1.692,426098,1.976,677,5.305,0.746,-0.876
10,E603_1,E603,20220722,08:14:38,117.101,22.9,3,surface,Mixed,28.965,33.317,0.618,5.13,8.69,0.547,0.907,14.189,4,2.177,1.318,1651200,0.907,409,4.889,0.837,1.842
11,E603_2,E603,20220722,08:14:38,117.101,22.9,15,middle,SCS,22.519,34.318,0.523,5.574,8.866,3.5,0.263,10.717,4,0.148,0.396,373333,1.762,555,5.164,0.721,-1.592
12,E603_3,E603,20220722,08:14:38,117.101,22.9,35,bottom,SCS,22.182,34.31,0.48,5.176,8.928,4.239,0.138,10.045,4,0.161,0.385,417991,1.642,585,5.139,0.705,-2.03
13,E501_1,E501,20220722,16:42:05,116.287,22.753,3,surface,Mixed,26.644,33.437,1.524,6.785,9.142,8.149,0.121,11.693,3,3.933,2.198,1789714,0.959,417,5.071,0.823,1.57
14,E501_2,E501,20220722,16:42:05,116.287,22.753,10,middle,SCS,23.067,34.244,0.837,4.074,9.116,3.393,0.691,15.71,3,0.718,0.959,748800,1.368,457,5.111,0.751,-0.687
15,E501_3,E501,20220722,16:42:05,116.287,22.753,29,bottom,SCS,21.728,34.338,0.201,4.51,9.376,6.7,0.578,15.757,3,0.303,0.669,452693,1.453,566,5.189,0.722,-1.555
16,E503_1,E503,20220722,21:20:51,116.443,22.551,3,surface,Plume,29.783,27.624,0.522,9.785,9.171,8.194,0.378,0.859,3,4.226,3.229,1308648,2.765,350,4.707,0.851,2.092
17,E503_2,E503,20220722,21:20:51,116.443,22.551,20,middle,SCS,25.404,33.99,0.269,5.068,9.167,1.913,0.379,3.595,3,0.544,1.179,461511,1.584,643,5.191,0.7,-2.152
18,E503_3,E503,20220722,21:20:51,116.443,22.551,37,bottom,SCS,21.891,34.352,0.139,5.455,9.679,,,,3,0.675,1.383,488107,2.387,730,5.423,0.712,-2.08
19,E505_1,E505,20220723,00:38:37,116.643,22.351,3,surface,Plume,31.006,25.7,0.319,5.226,8.999,5.406,0.176,4.076,3,0.912,1.495,610133,1.738,306,4.497,0.766,0.022
20,E505_2,E505,20220723,00:38:37,116.643,22.351,10,middle,Plume,29.595,31.267,0.344,7.058,8.881,0.039,0.229,2.046,3,1.621,2.891,560738,1.207,383,4.811,0.767,-0.143
21,E505_3,E505,20220723,00:38:37,116.643,22.351,40,bottom,SCS,22.553,34.316,0.225,5.638,8.931,0.734,0.085,2.348,3,0.536,1.347,397867,1.66,550,5.069,0.688,-2.456
22,E507_1,E507,20220723,03:37:12,116.89,22.102,3,surface,Plume,30.693,32.491,0.506,6.545,8.873,0.152,0.159,0.431,3,2.713,4.381,619276,2.045,331,4.493,0.756,-0.212
23,E507_2,E507,20220723,03:37:12,116.89,22.102,25,middle,Mixed,29.783,33.201,0.504,6.449,8.857,0.28,1.485,1.693,3,3.359,5.934,566044,1.983,392,4.77,0.719,-1.35
24,E507_3,E507,20220723,03:37:12,116.89,22.102,70,bottom,SCS,20.736,34.439,0.263,5.212,9.393,6.204,1.563,10.738,3,0.375,4.143,90514,0.6,684,5.505,0.73,-1.737
25,E509_1,E509,20220723,06:59:39,117.209,21.802,3,surface,Mixed,30.386,33.34,0.031,6.219,9.109,0.02,0.799,0.388,3,0.203,1.621,125257,0.665,307,4.597,0.618,-3.955
26,E509_2,E509,20220723,06:59:39,117.209,21.802,75,middle,SCS,24.687,34.201,0.424,6.291,9.178,1.778,3.607,4.369,3,0.087,0.378,229943,1.291,479,5.143,0.7,-2.385
27,E509_3,E509,20220723,06:59:39,117.209,21.802,150,bottom,SCS,18.153,34.599,0.048,4.724,9.164,8.506,0.461,7.44,3,0.18,4.74,37973,0.591,550,5.469,0.694,-3.247
28,E407_1,E407,20220723,16:44:35,116.361,21.869,3,surface,Plume,30.972,30.101,0.271,5.805,9.003,2.412,0.418,0.613,4,0.494,1.323,373333,1.282,298,4.312,0.774,0.311
29,E407_2,E407,20220723,16:44:35,116.361,21.869,60,middle,SCS,25.423,34.069,0.28,6.252,9.303,0.807,3.837,7.143,4,0.631,1.805,349582,1.308,548,5.147,0.726,-1.444
30,E407_3,E407,20220723,16:44:35,116.361,21.869,88,bottom,SCS,20.125,34.471,0.212,5.149,9.468,6.758,11.006,11.353,4,0.154,1.708,90169,0.588,622,5.452,0.685,-3.441
31,E405_1,E405,20220723,19:59:09,116.188,22.155,3,surface,Plume,30.986,25.579,0.371,6.703,9.054,8.602,0.839,6.584,3,2.062,3.383,609524,1.502,253,4.026,0.743,-0.096
32,E405_2,E405,20220723,19:59:09,116.188,22.155,10,middle,Plume,30.18,32.145,0.188,6.758,8.927,0.085,2.712,2.052,3,2.898,6.401,452724,1.01,215,3.803,0.716,-0.374
33,E405_3,E405,20220723,19:59:09,116.188,22.155,63,bottom,SCS,20.351,34.483,0.318,4.866,9.108,8.675,0.261,13.943,3,0.128,1.065,120229,0.59,757,5.523,0.683,-3.389
34,E403_1,E403,20220723,22:51:06,116.006,22.443,3,surface,Plume,30.98,25.471,0.889,6.667,9.415,10.686,0.8,13.658,4,4.491,4.615,973156,1.649,291,4.417,0.811,1.103
35,E403_2,E403,20220723,22:51:06,116.006,22.443,25,middle,SCS,23.764,34.146,0.407,5.045,9.382,6.586,0.686,11.682,4,0.389,2.052,189562,0.834,456,4.761,0.821,1.402
36,E403_3,E403,20220723,22:51:06,116.006,22.443,37,bottom,SCS,20.515,34.448,0.741,4.669,9.071,8.135,0.653,13.356,4,1.432,10.361,138210,0.692,696,5.491,0.724,-1.898
37,E401_1,E401,20220724,02:00:18,115.905,22.652,3,surface,Mixed,27.053,33.423,0.525,6.579,9.322,0.541,0.641,13.317,4,3.749,1.759,2131048,0.971,359,4.977,0.828,1.734
38,E401_2,E401,20220724,02:00:18,115.905,22.652,12,middle,SCS,23.905,34.092,2.045,5.648,9.265,7.532,2.94,16.79,4,0.333,0.879,378819,0.839,578,5.23,0.771,-0.077
39,E401_3,E401,20220724,02:00:18,115.905,22.652,23,bottom,SCS,21.46,34.391,0.364,4.353,9.377,8.829,0.637,18.021,4,1.292,6.144,210286,0.903,769,5.502,0.723,-1.859
40,E303_1,E303,20220724,07:16:48,115.534,22.404,3,surface,Plume,29.721,29.439,1.031,7.971,8.924,1.404,0.249,4.168,3,3.212,4.341,739962,1.338,357,4.68,0.834,1.689
41,E303_2,E303,20220724,07:16:48,115.534,22.404,22,middle,SCS,23.11,34.261,0.233,5.298,8.802,1.283,0.26,4.203,3,0.25,1.087,230095,0.877,342,4.763,0.779,0.314
42,E303_3,E303,20220724,07:16:48,115.534,22.404,33,bottom,SCS,22.115,34.327,0.143,4.97,8.843,5.596,0.262,10.491,3,0.185,1.744,106057,0.571,612,5.164,0.758,-0.335
43,E305_1,E305,20220724,09:37:43,115.589,22.152,3,surface,Plume,31.407,26.604,0.371,4.929,9.046,7.939,0.635,8.22,4,1.341,3.217,416853,0.946,298,4.444,0.777,0.344
44,E305_2,E305,20220724,09:37:43,115.589,22.152,50,middle,SCS,24.054,34.173,0.809,6.439,8.847,6.8,0.271,11.244,4,0.181,1.577,114773,0.809,638,5.271,0.708,-2.073
45,E305_3,E305,20220724,09:37:43,115.589,22.152,60,bottom,SCS,20.258,34.465,0.134,4.614,8.874,11.242,,14.915,4,0.07,0.796,87924,0.701,734,5.628,0.711,-2.77
46,E307_1,E307,20220724,12:23:31,115.667,21.826,3,surface,Plume,31.229,32.231,0.235,6.455,8.884,0.715,0.319,1.527,3,3.011,7.409,406400,1.368,269,4.064,0.752,-0.013
47,E307_2,E307,20220724,12:23:31,115.667,21.826,50,middle,SCS,24.183,34.149,0.257,5.973,9.116,0.56,4.437,3.628,3,0.273,1.076,253714,0.823,394,4.806,0.803,0.956
48,E307_3,E307,20220724,12:23:31,115.667,21.826,93,bottom,SCS,19.321,34.502,0.224,4.656,9.297,6.382,3.105,8.718,3,0.084,0.976,86095,0.641,719,5.672,0.715,-2.728
49,E309_1,E309,20220724,15:22:26,115.75,21.503,3,surface,SCS,30.161,33.791,0.04,4.493,8.823,0.221,3.749,2.246,4,0.292,1.953,149486,0.58,364,4.592,0.628,-3.352
50,E309_2,E309,20220724,15:22:26,115.75,21.503,75,middle,SCS,22.693,34.316,0.131,6.06,8.951,9.187,0.178,11.786,4,0.136,1.181,115200,0.673,691,5.507,0.701,-2.836
51,E309_3,E309,20220724,15:22:26,115.75,21.503,110,bottom,SCS,19.298,34.504,0.25,4.699,9.011,9.987,0.251,14.522,4,0.151,2.242,67352,0.54,729,5.704,0.725,-2.435
52,E209_1,E209,20220724,21:46:49,115.49,21.502,3,surface,Mixed,30.702,33.553,0.064,5.822,8.823,0.03,3.09,1.69,3,0.489,3.909,125105,0.553,369,4.59,0.729,-0.965
53,E209_2,E209,20220724,21:46:49,115.49,21.502,65,middle,SCS,22.852,34.328,0.126,6.268,8.94,8.775,2.946,6.288,3,0.08,0.357,223858,2.099,699,5.517,0.699,-2.988
54,E209_3,E209,20220724,21:46:49,115.49,21.502,107,bottom,SCS,19.476,34.48,0.184,4.953,9.238,9.377,0.746,13.205,3,0.041,0.21,195271,2.122,783,5.729,0.717,-2.752
55,E207_1,E207,20220725,00:43:00,115.287,21.677,3,surface,Plume,30.644,32.76,0.103,6.188,8.811,0.263,0.005,1.656,3,0.59,1.527,386347,1.588,405,4.753,0.75,-0.526
56,E207_2,E207,20220725,00:43:00,115.287,21.677,75,middle,SCS,22.842,34.284,0.329,6.158,8.833,3.519,0.441,7.92,3,0.314,1.303,240914,0.627,396,4.436,0.799,0.996
57,E207_3,E207,20220725,00:43:00,115.287,21.677,95,bottom,SCS,20.121,34.455,0.065,4.753,8.853,9.022,1.176,13.915,3,0.221,2.069,106819,0.588,825,5.546,0.696,-2.973
58,E205_1,E205,20220725,03:54:57,115.083,21.917,3,surface,Plume,30.918,31.371,0.509,4.394,8.781,0.127,0.005,1.912,3,0.299,1.803,165790,0.538,370,4.598,0.656,-2.651
59,E205_2,E205,20220725,03:54:57,115.083,21.917,50,middle,SCS,23.959,34.196,0.537,6.349,8.849,7.687,0.422,4.632,3,0.32,1.504,212724,0.701,444,4.861,0.777,0.242
60,E205_3,E205,20220725,03:54:57,115.083,21.917,67,bottom,SCS,21.503,34.369,0.324,4.991,8.899,7.102,0.851,11.177,3,0.127,1.277,99413,0.586,731,5.473,0.699,-2.77
61,E203_1,E203,20220725,07:13:42,114.85,22.15,3,surface,Plume,31.52,27.619,0.274,7.296,9.007,1.469,0.005,1.466,3,1.717,3.506,489733,1.789,316,4.773,0.782,0.3
62,E203_2,E203,20220725,07:13:42,114.85,22.15,22,middle,SCS,25.858,33.924,1.132,5.868,8.733,2.322,0.318,2.996,3,0.696,2.292,303695,0.927,308,4.711,0.769,0
63,E203_3,E203,20220725,07:13:42,114.85,22.15,40,bottom,SCS,21.427,34.369,0.369,5.324,8.803,6.646,0.739,9.85,3,0.506,3.93,128762,0.624,549,5.112,0.701,-2.087
64,E201_1,E201,20220725,10:10:01,114.617,22.383,3,surface,Plume,26.028,32.985,2.246,7.188,9.038,5.543,0.44,15.735,3,3.948,5.139,768305,1.486,448,4.914,0.815,1.286
65,E201_2,E201,20220725,10:10:01,114.617,22.383,10,middle,SCS,24.063,34.102,0.363,3.423,8.897,4.105,0.418,9.611,3,0.475,1.461,325181,1.063,553,5.334,0.789,0.496
66,E201_3,E201,20220725,10:10:01,114.617,22.383,20,bottom,SCS,21.821,34.354,0.828,4.429,9.021,5.72,0.702,10.289,3,0.687,2.624,261790,0.968,663,5.239,0.713,-1.763
67,E101_1,E101,20220725,14:18:46,114.2,22.1,3,surface,Plume,31.456,22.084,4.151,8.05,9.082,6.349,0.024,4.994,2,5.731,3.717,1541689,1.36,398,4.936,0.829,1.632
68,E101_2,E101,20220725,14:18:46,114.2,22.1,15,middle,SCS,24.565,34.083,0.251,2.7,8.746,3.698,0.136,8.975,2,0.22,0.554,397410,1.2,601,5.244,0.726,-1.453
69,E101_3,E101,20220725,14:18:46,114.2,22.1,26,bottom,SCS,23.351,34.221,0.395,3.035,8.922,5.738,0.548,9.508,2,0.287,1.539,186514,0.673,677,5.38,0.715,-1.959
70,E103_1,E103,20220725,17:10:31,114.412,21.835,3,surface,Plume,31.789,22.203,2.306,7.264,9.337,4.577,0.013,2.528,3,2.447,8.265,296076,0.969,252,4.215,0.821,1.274
71,E103_2,E103,20220725,17:10:31,114.412,21.835,20,middle,Mixed,28.4,33.636,1.504,6.437,9.026,0.238,0.03,1.313,3,0.409,1.988,205714,0.533,282,4.568,0.789,0.557
72,E103_3,E103,20220725,17:10:31,114.412,21.835,45,bottom,SCS,20.866,34.424,0.799,4.608,9.218,9.119,0.925,14.384,3,0.91,3.591,253410,0.893,568,5.086,0.731,-1.072
73,E105_1,E105,20220725,20:20:23,114.606,21.554,3,surface,Plume,30.808,31.91,0.123,6.409,9.086,0.188,0.054,2.063,3,0.741,,,,310,4.715,0.759,-0.306
74,E105_2,E105,20220725,20:20:23,114.606,21.554,50,middle,SCS,23.607,34.218,0.475,6.131,9.144,4.68,0.509,8.165,3,2.281,,,,379,4.479,0.796,0.878
75,E105_3,E105,20220725,20:20:23,114.606,21.554,68,bottom,SCS,20.863,34.398,0.368,5.37,9.193,6.981,0.719,9.284,3,0.201,,,,513,5.121,0.75,-0.672
76,E107_1,E107,20220725,23:13:31,114.788,21.293,3,surface,Mixed,30.596,33.624,0.113,5.727,8.861,1.775,0.005,3.384,12,0.732,5.434,134705,0.417,298,3.962,0.741,0.147
77,E107_2,E107,20220725,23:13:31,114.788,21.293,64,middle,SCS,21.855,34.338,0.339,5.676,9.018,6.125,0.725,8.211,12,0.245,1.11,220648,0.822,399,4.564,0.81,1.144
78,E107_3,E107,20220725,23:13:31,114.788,21.293,87,bottom,SCS,21.24,34.364,0.262,5.212,9.06,7.562,0.815,14.083,12,0.525,3.371,155733,0.782,538,5.07,0.746,-0.711
79,E109_1,E109,20220726,02:12:36,114.998,21.042,3,surface,Mixed,30.299,33.671,0.09,5.632,8.809,0.219,0.005,1.096,3,0.584,7.548,77369,0.363,,,,
80,E109_2,E109,20220726,02:12:36,114.998,21.042,75,middle,SCS,22.883,34.25,0.852,6.082,8.847,0.583,0.188,2.521,3,0.709,2.908,243810,0.787,,,,
81,E109_3,E109,20220726,02:12:36,114.998,21.042,93,bottom,SCS,19.089,34.504,0.156,4.86,8.829,11.841,1.255,13.756,3,0.145,1.527,94933,0.793,,,,
